id,label,type,canonical_id,domain,description
DS_소,DS_소,dream_concept,,dream,DS_소 conceptual alias node.
DS_숲,DS_숲,dream_concept,,dream,DS_숲 conceptual alias node.
DS_스승,DS_스승,dream_concept,,dream,DS_스승 conceptual alias node.
DS_승진,DS_승진,dream_concept,,dream,DS_승진 conceptual alias node.
DS_싸움,DS_싸움,dream_concept,,dream,DS_싸움 conceptual alias node.
DS_아버지,DS_아버지,dream_concept,,dream,DS_아버지 conceptual alias node.
DS_양,DS_양,dream_concept,,dream,DS_양 conceptual alias node.
DS_어린이,DS_어린이,dream_concept,,dream,DS_어린이 conceptual alias node.
DS_어머니,DS_어머니,dream_concept,,dream,DS_어머니 conceptual alias node.
DS_여름,DS_여름,dream_concept,,dream,DS_여름 conceptual alias node.
DS_여행,DS_여행,dream_concept,,dream,DS_여행 conceptual alias node.
DS_연인,DS_연인,dream_concept,,dream,DS_연인 conceptual alias node.
DS_원숭이,DS_원숭이,dream_concept,,dream,DS_원숭이 conceptual alias node.
DS_은,DS_은,dream_concept,,dream,DS_은 conceptual alias node.
DS_의사,DS_의사,dream_concept,,dream,DS_의사 conceptual alias node.
DS_이별,DS_이별,dream_concept,,dream,DS_이별 conceptual alias node.
DS_이성_낯선,DS_이성_낯선,dream_concept,,dream,DS_이성_낯선 conceptual alias node.
DS_임신,DS_임신,dream_concept,,dream,DS_임신 conceptual alias node.
DS_자녀,DS_자녀,dream_concept,,dream,DS_자녀 conceptual alias node.
DS_전쟁,DS_전쟁,dream_concept,,dream,DS_전쟁 conceptual alias node.
DS_젊은사람,DS_젊은사람,dream_concept,,dream,DS_젊은사람 conceptual alias node.
DS_졸업,DS_졸업,dream_concept,,dream,DS_졸업 conceptual alias node.
DS_죽은사람,DS_죽은사람,dream_concept,,dream,DS_죽은사람 conceptual alias node.
DS_쥐,DS_쥐,dream_concept,,dream,DS_쥐 conceptual alias node.
DS_직장,DS_직장,dream_alias,DS_workplace,dream,DS_직장 alias of DS_workplace.
DS_집_낡은,DS_집_낡은,dream_concept,,dream,DS_집_낡은 conceptual alias node.
DS_집_새,DS_집_새,dream_concept,,dream,DS_집_새 conceptual alias node.
DS_쫓김,DS_쫓김,dream_concept,,dream,DS_쫓김 conceptual alias node.
DS_차_고장,DS_차_고장,dream_alias,DS_차,dream,DS_차_고장 alias of DS_차.
DS_차_새,DS_차_새,dream_alias,DS_차,dream,DS_차_새 alias of DS_차.
DS_천둥,DS_천둥,dream_concept,,dream,DS_천둥 conceptual alias node.
DS_철,DS_철,dream_concept,,dream,DS_철 conceptual alias node.
DS_청룡,DS_청룡,dream_concept,,dream,DS_청룡 conceptual alias node.
DS_추락,DS_추락,dream_concept,,dream,DS_추락 conceptual alias node.
DS_출산,DS_출산,dream_alias,DS_아기,dream,DS_출산 alias of DS_아기.
DS_친구,DS_친구,dream_concept,,dream,DS_친구 conceptual alias node.
DS_칼,DS_칼,dream_concept,,dream,DS_칼 conceptual alias node.
DS_태양,DS_태양,dream_concept,,dream,DS_태양 conceptual alias node.
DS_토끼,DS_토끼,dream_concept,,dream,DS_토끼 conceptual alias node.
DS_퇴직,DS_퇴직,dream_concept,,dream,DS_퇴직 conceptual alias node.
DS_하늘날기,DS_하늘날기,dream_concept,,dream,DS_하늘날기 conceptual alias node.
DS_학교,DS_학교,dream_concept,,dream,DS_학교 conceptual alias node.
DS_한낮,DS_한낮,dream_concept,,dream,DS_한낮 conceptual alias node.
DS_한밤,DS_한밤,dream_concept,,dream,DS_한밤 conceptual alias node.
DS_해돋이,DS_해돋이,dream_concept,,dream,DS_해돋이 conceptual alias node.
DS_해질녘,DS_해질녘,dream_concept,,dream,DS_해질녘 conceptual alias node.
DS_현무,DS_현무,dream_concept,,dream,DS_현무 conceptual alias node.
DS_형제,DS_형제,dream_concept,,dream,DS_형제 conceptual alias node.
DS_호수,DS_호수,dream_alias,DS_nature_lake,dream,DS_호수 alias of DS_nature_lake.
DS_흙,DS_흙,dream_concept,,dream,DS_흙 conceptual alias node.
GJ_묘,GJ_묘,saju_concept,,saju,GJ_묘 conceptual alias node.
GJ_미,GJ_미,saju_concept,,saju,GJ_미 conceptual alias node.
GJ_사,GJ_사,saju_concept,,saju,GJ_사 conceptual alias node.
GJ_술,GJ_술,saju_concept,,saju,GJ_술 conceptual alias node.
GJ_신,GJ_신,saju_concept,,saju,GJ_신 conceptual alias node.
GJ_오,GJ_오,saju_concept,,saju,GJ_오 conceptual alias node.
GJ_유,GJ_유,saju_concept,,saju,GJ_유 conceptual alias node.
GJ_인,GJ_인,saju_concept,,saju,GJ_인 conceptual alias node.
GJ_자,GJ_자,saju_concept,,saju,GJ_자 conceptual alias node.
GJ_진,GJ_진,saju_concept,,saju,GJ_진 conceptual alias node.
GJ_축,GJ_축,saju_concept,,saju,GJ_축 conceptual alias node.
GJ_해,GJ_해,saju_concept,,saju,GJ_해 conceptual alias node.
GK_재자살인격,GK_재자살인격,cross_concept,,cross,GK_재자살인격 conceptual alias node.
HEX_01_건,HEX_01_건,iching_alias,HEX_01,iching,HEX_01_건 alias of HEX_01.
HEX_02_곤,HEX_02_곤,iching_alias,HEX_02,iching,HEX_02_곤 alias of HEX_02.
HEX_03_둔,HEX_03_둔,iching_alias,HEX_03,iching,HEX_03_둔 alias of HEX_03.
HEX_04_몽,HEX_04_몽,iching_alias,HEX_04,iching,HEX_04_몽 alias of HEX_04.
HEX_05_수,HEX_05_수,iching_alias,HEX_05,iching,HEX_05_수 alias of HEX_05.
HEX_06_송,HEX_06_송,iching_alias,HEX_06,iching,HEX_06_송 alias of HEX_06.
HEX_07_사,HEX_07_사,iching_alias,HEX_07,iching,HEX_07_사 alias of HEX_07.
HEX_08_비,HEX_08_비,iching_alias,HEX_08,iching,HEX_08_비 alias of HEX_08.
HEX_09_소축,HEX_09_소축,iching_alias,HEX_09,iching,HEX_09_소축 alias of HEX_09.
HEX_10_리,HEX_10_리,iching_alias,HEX_10,iching,HEX_10_리 alias of HEX_10.
